Cluster,gender,academic_year,degree_program,home_environment,faculty_environment,F1,F2,F3,F4
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.5,5.0,2.75,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.333333333333333,4.0,2.25,3.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.0,4.666666666666667,3.5,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,5.0,2.25,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.0,5.0,3.0,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.5,4.0,2.5,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.8333333333333335,4.666666666666667,3.0,2.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,3.8333333333333335,4.666666666666667,3.25,2.5
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.166666666666667,4.666666666666667,3.25,3.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,3.5,4.0,3.25,3.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,3.8333333333333335,3.6666666666666665,2.5,3.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,3.6666666666666665,4.333333333333333,3.75,2.5
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,4.5,4.666666666666667,3.0,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,4.333333333333333,3.0,2.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,3.6666666666666665,4.0,2.5,2.5
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Dissatisfied,3.6666666666666665,4.666666666666667,2.75,4.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,4.0,3.25,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,4.0,3.5,2.5
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,3.6666666666666665,5.0,3.5,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,4.666666666666667,2.75,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,No,Very satisfied,4.0,4.666666666666667,2.5,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,3.6666666666666665,4.0,3.25,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.8333333333333335,5.0,3.5,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,4.0,4.666666666666667,3.5,1.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.8333333333333335,4.666666666666667,3.5,3.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,No,Very satisfied,3.5,5.0,4.0,2.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.333333333333333,5.0,4.5,1.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.333333333333333,4.0,3.5,2.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,4.166666666666667,4.0,4.0,3.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.166666666666667,5.0,4.25,2.5
2,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,2.0,3.25,2.5
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,3.8333333333333335,3.6666666666666665,2.75,3.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,4.0,5.0,4.25,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.5,4.333333333333333,3.5,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,4.0,5.0,2.75,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.333333333333333,4.333333333333333,2.75,4.5
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.166666666666667,4.0,3.0,4.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.0,4.0,2.75,1.5
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.166666666666667,4.666666666666667,3.5,4.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.0,4.0,3.25,2.5
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.0,4.333333333333333,3.5,2.0
2,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.5,2.0,2.25,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.166666666666667,5.0,3.5,4.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,4.0,3.25,2.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,3.8333333333333335,4.0,3.0,4.5
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.8333333333333335,4.0,2.5,4.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.166666666666667,4.0,3.5,3.5
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Very satisfied,5.0,5.0,3.5,4.5
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.5,4.0,3.5,4.5
0,Female,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,4.0,4.666666666666667,3.0,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.0,4.0,3.25,4.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.166666666666667,4.666666666666667,3.5,4.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.8333333333333335,4.0,2.75,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.166666666666667,4.0,3.25,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.333333333333333,4.333333333333333,3.25,4.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.6666666666666665,3.333333333333333,3.25,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.0,3.6666666666666665,3.5,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.833333333333333,4.333333333333333,3.5,4.5
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.5,5.0,3.0,3.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.0,3.6666666666666665,3.5,3.0
2,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.333333333333333,3.0,2.75,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.0,3.333333333333333,3.0,2.0
1,Male,Year 4,B.B.A. (Hons) in Finance,No,Neither satisfied nor dissatisfied,4.0,4.0,3.75,2.5
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.333333333333333,5.0,3.5,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,4.333333333333333,4.0,4.0,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,4.333333333333333,4.666666666666667,3.0,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.333333333333333,4.0,3.25,3.0
1,Female,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,4.0,3.0,2.75,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.0,4.333333333333333,3.25,4.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,No,Neither satisfied nor dissatisfied,4.833333333333333,5.0,3.75,4.5
0,Male,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,4.166666666666667,4.0,3.0,3.5
0,Male,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,4.0,3.6666666666666665,3.0,4.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,4.166666666666667,3.333333333333333,3.25,4.0
0,Female,Year 4,B.B.A. (Hons) in Finance,No,Neither satisfied nor dissatisfied,3.8333333333333335,4.0,3.0,3.5
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.5,4.0,3.5,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,4.666666666666667,4.666666666666667,3.25,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.5,4.333333333333333,3.5,5.0
0,Female,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,3.8333333333333335,4.0,2.75,4.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.333333333333333,5.0,3.75,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,4.0,4.666666666666667,3.25,1.5
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.6666666666666665,3.333333333333333,3.5,3.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Dissatisfied,4.166666666666667,4.666666666666667,3.0,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.333333333333333,3.6666666666666665,3.5,2.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.833333333333333,4.333333333333333,3.5,5.0
1,Male,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,4.0,3.333333333333333,3.75,3.0
2,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,2.6666666666666665,1.6666666666666667,2.25,2.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.5,4.666666666666667,3.25,5.0
2,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,3.1666666666666665,3.333333333333333,2.75,2.5
0,Female,Year 4,B.B.A. (Hons) in Marketing,No,Dissatisfied,5.0,5.0,3.75,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,No,Neither satisfied nor dissatisfied,4.166666666666667,3.333333333333333,3.25,4.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.833333333333333,4.666666666666667,3.25,5.0
2,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.1666666666666665,3.6666666666666665,2.0,3.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.5,4.0,3.0,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.5,5.0,3.25,4.0
1,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.5,3.0,3.25,3.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.0,4.0,3.5,4.5
1,Male,Year 4,B.B.A. (Hons) in Finance,No,Satisfied,3.5,3.333333333333333,3.75,3.0
2,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,2.6666666666666665,2.0,2.75,2.5
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,4.666666666666667,4.666666666666667,3.5,5.0
2,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,3.8333333333333335,3.0,2.5,4.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Dissatisfied,5.0,5.0,4.0,5.0
2,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,2.833333333333333,2.333333333333333,2.5,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,5.0,5.0,3.75,5.0
2,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,2.833333333333333,2.6666666666666665,2.75,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,No,Neither satisfied nor dissatisfied,4.5,4.333333333333333,3.5,5.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,3.0,2.75,2.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Very dissatisfied,5.0,5.0,3.75,4.5
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Dissatisfied,5.0,4.0,3.5,5.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,4.666666666666667,5.0,3.5,5.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,5.0,4.666666666666667,3.5,5.0
2,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,2.5,2.0,2.5,2.0
2,Male,Year 3,B.B.A. (Hons) in Hospitality and Leisure Management,Yes,Satisfied,2.0,2.0,2.75,1.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,5.0,5.0,3.5,5.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,5.0,5.0,3.75,5.0
2,Female,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,2.333333333333333,1.6666666666666667,3.0,1.5
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,5.0,5.0,3.0,5.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Dissatisfied,5.0,4.666666666666667,3.75,5.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,5.0,4.333333333333333,3.75,5.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.666666666666667,4.0,3.25,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,4.833333333333333,4.333333333333333,3.5,4.0
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.5,4.666666666666667,3.5,4.5
0,Male,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,4.833333333333333,4.0,3.5,5.0
1,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.1666666666666665,3.333333333333333,3.25,2.0
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,5.0,4.666666666666667,3.5,5.0
2,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.1666666666666665,2.333333333333333,2.0,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.6666666666666665,4.0,2.25,2.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,No,Neither satisfied nor dissatisfied,3.6666666666666665,3.333333333333333,3.0,2.0
2,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Very satisfied,2.333333333333333,3.333333333333333,3.25,2.0
0,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,4.0,4.333333333333333,2.75,4.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,3.5,3.6666666666666665,2.5,2.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.333333333333333,3.6666666666666665,2.75,2.5
2,Female,Year 4,B.B.A. (Hons) in Marketing,No,Satisfied,3.5,3.0,2.0,2.0
2,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.5,3.333333333333333,2.25,2.5
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,3.5,3.333333333333333,3.0,2.5
2,Female,Year 4,B.B.A. (Hons) in Marketing,No,Neither satisfied nor dissatisfied,2.833333333333333,3.333333333333333,2.5,4.0
0,Male,Year 4,B.B.A. (Hons) in Marketing,No,Neither satisfied nor dissatisfied,4.0,3.6666666666666665,2.75,3.5
2,Female,Year 4,B.B.A. (Hons) in Marketing,Yes,Neither satisfied nor dissatisfied,3.8333333333333335,2.333333333333333,2.5,3.0
1,Male,Year 4,B.B.A. (Hons) in Marketing,Yes,Satisfied,3.5,3.6666666666666665,3.0,3.0
2,Female,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,2.6666666666666665,2.0,1.0,2.0
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.333333333333333,3.333333333333333,3.0,1.0
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Neither satisfied nor dissatisfied,3.1666666666666665,4.0,2.5,1.5
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.6666666666666665,3.0,3.0,1.5
1,Male,Year 4,B.B.A. (Hons) in International Business,No,Satisfied,3.5,3.0,2.5,1.0
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.6666666666666665,2.6666666666666665,3.5,1.5
0,Male,Year 4,B.B.A. (Hons) in International Business,No,Satisfied,4.833333333333333,5.0,4.25,4.0
1,Male,Year 3,B.B.A. (Hons) in International Business,Yes,Satisfied,3.8333333333333335,4.0,3.5,1.5
0,Male,Year 4,B.B.A. (Hons) in International Business,No,Satisfied,4.0,4.0,3.5,4.0
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.8333333333333335,4.0,3.25,2.0
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.6666666666666665,3.333333333333333,3.25,1.5
2,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,2.6666666666666665,1.3333333333333333,2.5,1.0
1,Female,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,4.333333333333333,4.0,3.5,1.5
0,Female,Year 4,B.B.A. (Hons) in Finance,Yes,Satisfied,4.333333333333333,4.333333333333333,1.75,4.0
2,Female,Year 4,B.B.A. (Hons) in International Business,Yes,Neither satisfied nor dissatisfied,3.0,2.333333333333333,2.25,2.0
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.1666666666666665,4.0,3.0,1.5
1,Male,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.6666666666666665,4.666666666666667,3.25,1.5
1,Female,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,4.833333333333333,4.333333333333333,3.0,1.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,4.0,2.5,2.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,5.0,3.25,3.0
1,Female,Year 4,B.B.A. (Hons) in Accounting,No,Neither satisfied nor dissatisfied,4.166666666666667,4.0,3.25,2.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.833333333333333,4.333333333333333,3.5,2.5
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.333333333333333,4.333333333333333,2.5,3.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,5.0,4.0,3.25,3.0
1,Male,Year 3,B.B.A. (Hons) in Human Resource Management,Yes,Satisfied,3.0,3.333333333333333,2.5,1.5
1,Male,Year 3,B.B.A. (Hons) in Human Resource Management,Yes,Neither satisfied nor dissatisfied,2.6666666666666665,4.0,2.0,1.0
2,Male,Year 3,B.B.A. (Hons) in Human Resource Management,Yes,Satisfied,2.6666666666666665,2.0,2.5,1.0
1,Male,Year 3,B.B.A. (Hons) in Human Resource Management,Yes,Satisfied,2.833333333333333,4.0,3.25,1.5
2,Female,Year 3,B.B.A. (Hons) in Human Resource Management,Yes,Satisfied,2.6666666666666665,2.6666666666666665,2.75,2.0
1,Male,Year 3,B.B.A. (Hons) in Finance,Yes,Neither satisfied nor dissatisfied,4.0,3.6666666666666665,2.5,2.5
2,Male,Year 3,B.B.A. (Hons) in Finance,Yes,Satisfied,2.833333333333333,2.333333333333333,2.5,2.5
0,Female,Year 3,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.666666666666667,4.0,3.25,3.5
1,Male,Year 3,B.B.A. (Hons) in Accounting,No,Satisfied,4.0,4.0,3.5,2.5
0,Male,Year 3,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.0,4.0,3.5,4.0
0,Male,Year 3,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,5.0,5.0,3.25,5.0
0,Male,Year 3,B.B.A. (Hons) in Accounting,No,Satisfied,4.0,4.0,4.0,4.0
0,Male,Year 3,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,5.0,5.0,2.75,5.0
0,Female,Year 3,B.B.A. (Hons) in Accounting,No,Satisfied,4.666666666666667,4.333333333333333,2.5,4.5
0,Male,Year 3,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.0,4.0,2.75,4.0
1,Male,Year 3,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,4.0,4.0,3.5
0,Female,Year 3,B.B.A. (Hons) in Business Economics,Yes,Dissatisfied,3.5,5.0,1.5,5.0
2,Female,Year 3,B.B.A. (Hons) in Business Economics,Yes,Dissatisfied,2.0,2.6666666666666665,3.25,5.0
0,Female,Year 3,B.B.A. (Hons) in Business Economics,Yes,Satisfied,5.0,2.333333333333333,1.75,5.0
2,Female,Year 3,B.B.A. (Hons) in Business Economics,No,Dissatisfied,2.5,3.333333333333333,3.0,3.5
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Very dissatisfied,4.0,4.0,3.5,4.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.8333333333333335,3.333333333333333,3.0,4.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,No,Satisfied,4.166666666666667,4.666666666666667,3.5,4.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.166666666666667,5.0,3.75,3.0
1,Male,Year 3,B.B.A. (Hons) in Business Economics,Yes,Satisfied,4.0,3.0,2.75,3.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.0,4.333333333333333,3.5,4.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,4.666666666666667,3.0,5.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.5,5.0,3.25,3.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.5,4.666666666666667,3.0,3.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.0,4.333333333333333,3.0,2.5
0,Female,Year 4,B.B.A. (Hons) in Accounting,No,Satisfied,4.333333333333333,4.333333333333333,2.75,4.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.333333333333333,4.0,2.75,3.0
1,Male,Year 4,B.B.A. (Hons) in Business Economics,No,Dissatisfied,3.0,3.333333333333333,3.5,1.0
2,Male,Year 4,B.B.A. (Hons) in Accounting,No,Neither satisfied nor dissatisfied,4.0,2.0,3.25,4.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,3.0,2.75,3.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.1666666666666665,4.666666666666667,2.5,3.5
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.6666666666666665,4.333333333333333,1.75,4.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.333333333333333,3.6666666666666665,2.75,3.5
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.166666666666667,4.0,3.5,3.0
1,Female,Year 1,,Yes,Neither satisfied nor dissatisfied,3.5,4.333333333333333,2.5,1.5
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Very satisfied,3.8333333333333335,4.0,3.5,2.5
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.6666666666666665,4.0,3.25,2.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.0,4.0,3.25,2.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.833333333333333,5.0,3.75,5.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.166666666666667,5.0,2.75,3.5
2,Female,Year 2,,Yes,Satisfied,3.8333333333333335,3.333333333333333,2.25,3.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,3.8333333333333335,3.6666666666666665,3.0,2.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Dissatisfied,4.0,4.0,3.25,3.0
0,Female,Year 2,,Yes,Satisfied,4.0,4.0,2.0,4.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,3.8333333333333335,3.6666666666666665,2.75,3.0
2,Female,Year 2,,Yes,Satisfied,3.0,3.0,3.0,3.0
0,Female,Year 2,,Yes,Neither satisfied nor dissatisfied,2.833333333333333,4.333333333333333,3.25,4.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.166666666666667,4.666666666666667,3.5,3.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.0,4.333333333333333,3.5,4.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,3.6666666666666665,4.0,2.75,3.5
2,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.166666666666667,1.6666666666666667,2.5,3.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.333333333333333,3.6666666666666665,2.75,3.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,4.0,3.0,4.0
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Dissatisfied,3.5,4.666666666666667,2.5,4.0
1,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,3.0,3.0,3.0
2,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.8333333333333335,3.0,2.5,3.5
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Very satisfied,3.6666666666666665,3.6666666666666665,2.75,2.5
0,Female,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,4.166666666666667,4.333333333333333,2.75,3.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.6666666666666665,4.0,2.25,4.5
2,Male,Year 4,B.B.A. (Hons) in Hospitality and Leisure Management,Yes,Satisfied,3.8333333333333335,3.333333333333333,2.0,3.0
0,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.6666666666666665,4.0,2.5,4.0
1,Female,Year 4,B.B.A. (Hons) in Accounting,No,Very satisfied,3.8333333333333335,3.6666666666666665,3.0,3.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,4.0,4.0,3.25,3.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Satisfied,3.6666666666666665,3.6666666666666665,2.75,3.0
2,Female,Year 4,B.B.A. (Hons) in International Business,Yes,Satisfied,3.0,4.0,2.5,3.0
1,Male,Year 4,B.B.A. (Hons) in Accounting,Yes,Neither satisfied nor dissatisfied,3.333333333333333,4.0,3.5,3.0
